id,user_id,username,action,details,ip_address,created_at
"1","1","admin","ledger.updated","transaction=34 Manual transaction updated. {""debits"":58.75,""credits"":58.75}","::1","2026-07-10 07:12:34"
"2","1","admin","ledger.updated","transaction=34 Manual transaction updated. {""debits"":58.75,""credits"":58.75}","::1","2026-07-10 07:13:05"
"3","1","admin","ledger.updated","transaction=34 Manual transaction updated. {""debits"":58.75,""credits"":58.75}","::1","2026-07-10 07:13:13"
"4","1","admin","ledger.updated","transaction=34 Manual transaction updated. {""debits"":58.75,""credits"":58.75}","::1","2026-07-10 07:16:43"
"5","1","admin","ledger.document_uploaded","transaction=34 Document uploaded: CityOfNashville.receipt.pdf {""doc_id"":5}","::1","2026-07-10 07:26:07"
"6","1","admin","ledger.created","transaction=35 Manual transaction created. {""debits"":23,""credits"":23}","::1","2026-07-10 07:27:17"
"7","1","admin","ledger.document_uploaded","transaction=35 Document uploaded: CityOfNashville.receipt.pdf {""doc_id"":6}","::1","2026-07-10 07:27:31"
"8","1","admin","ledger.document_uploaded","transaction=35 Document uploaded: image-1.jpg {""doc_id"":7}","::1","2026-07-10 07:34:30"
"9","1","admin","ledger.document_uploaded","transaction=34 Document uploaded: image-4.jpg {""doc_id"":8}","::1","2026-07-10 07:34:50"
"10","1","admin","ledger.document_deleted","transaction=35 Document deleted: image-1.jpg {""doc_id"":7}","::1","2026-07-10 07:56:48"
"11","1","admin","ledger.document_uploaded","transaction=35 Document uploaded: image-1.jpg {""doc_id"":10}","::1","2026-07-10 08:03:41"
"12","1","admin","ledger.updated","transaction=35 Manual transaction updated. {""debits"":23,""credits"":23}","::1","2026-07-10 08:03:46"
"13","1","admin","ledger.updated","transaction=35 Manual transaction updated. {""debits"":24,""credits"":24}","::1","2026-07-10 08:04:00"
"14","","system","ledger.updated","transaction=35 Transaction saved with no field changes (re-saved). {""debits"":24,""credits"":24,""changes"":[]}","::1","2026-07-10 13:43:21"
"15","1","admin","ledger.updated","transaction=35 Transaction saved with no field changes (re-saved). {""debits"":24,""credits"":24,""changes"":[]}","::1","2026-07-10 13:44:00"
"16","1","admin","ledger.document_deleted","transaction=35 Attachment ""image-1.jpg"" removed. {""doc_id"":10,""original_filename"":""image-1.jpg""}","::1","2026-07-10 13:44:00"
"17","1","admin","ledger.draft_created","transaction=36 Contribution draft created by first teller totaling $100.00. {""grand_total"":100}","::1","2026-07-10 16:58:46"
"18","1","admin","workflow.created","instance=1 Workflow created: Sunday Offering — 2026-07-10 {""workflow_type"":""contribution"",""status"":""draft_pending_second_count"",""transaction_detail_id"":36}","::1","2026-07-10 16:58:46"
"19","1","admin","workflow.step_completed","instance=1 Teller count saved; pending second teller verification. {""status"":""draft_pending_second_count"",""transaction_detail_id"":36}","::1","2026-07-10 16:58:46"
"20","1","admin","ledger.document_uploaded","transaction=36 Attachment ""image-3.jpg"" added. {""doc_id"":11,""workflow_instance_id"":1,""original_filename"":""image-3.jpg""}","::1","2026-07-10 16:58:58"
"21","1","admin","workflow.document_uploaded","instance=1 Attachment ""image-3.jpg"" added to ledger #36. {""doc_id"":11,""transaction_detail_id"":36,""original_filename"":""image-3.jpg""}","::1","2026-07-10 16:58:58"
