id,user_id,username,action,details,ip_address,created_at
"1","1","admin","clear_transactions","Tables: transaction_lines, transaction_details","::1","2026-06-20 16:04:34"
"2","1","admin","clear_transactions_repopulate_categories","{""natural_categories"":13,""functional_categories"":10}","::1","2026-06-20 16:04:34"
"3","1","admin","clear_transactions_completed","{""transaction_lines"":""truncated"",""transaction_details"":""truncated"",""repopulated"":{""natural_categories"":13,""functional_categories"":10}}","::1","2026-06-20 16:04:34"
"4","1","admin","clear_all_financial","Tables: transaction_lines, transaction_details, budget_lines, budgets, tasks, accounts, funds, functional_categories, natural_categories","::1","2026-06-20 16:06:33"
"5","1","admin","clear_all_financial_repopulate_categories","{""natural_categories"":13,""functional_categories"":10}","::1","2026-06-20 16:06:33"
"6","1","admin","clear_all_financial_completed","{""transaction_lines"":""truncated"",""transaction_details"":""truncated"",""budget_lines"":""truncated"",""budgets"":""truncated"",""tasks"":""truncated"",""accounts"":""truncated"",""funds"":""truncated"",""functional_categories"":""truncated"",""natural_categories"":""truncated"",""repopulated"":{""natural_categories"":13,""functional_categories"":10}}","::1","2026-06-20 16:06:33"
"7","1","admin","clear_transactions","Tables: transaction_lines, transaction_details","::1","2026-06-20 16:12:17"
"8","1","admin","clear_transactions_completed","{""transaction_lines"":""truncated"",""transaction_details"":""truncated""}","::1","2026-06-20 16:12:17"
"9","1","admin","clear_categories","Tables: functional_categories, natural_categories","::1","2026-06-20 16:12:34"
"10","1","admin","clear_categories_repopulate_categories","{""natural_categories"":13,""functional_categories"":10}","::1","2026-06-20 16:12:34"
"11","1","admin","clear_categories_completed","{""functional_categories"":""truncated"",""natural_categories"":""truncated"",""repopulated"":{""natural_categories"":13,""functional_categories"":10}}","::1","2026-06-20 16:12:34"
"12","1","admin","clear_all_financial","Tables: transaction_lines, transaction_details, budget_lines, budgets, tasks, accounts, funds, functional_categories, natural_categories","::1","2026-06-20 16:12:50"
"13","1","admin","clear_all_financial_repopulate_categories","{""natural_categories"":13,""functional_categories"":10}","::1","2026-06-20 16:12:50"
"14","1","admin","clear_all_financial_completed","{""transaction_lines"":""truncated"",""transaction_details"":""truncated"",""budget_lines"":""truncated"",""budgets"":""truncated"",""tasks"":""truncated"",""accounts"":""truncated"",""funds"":""truncated"",""functional_categories"":""truncated"",""natural_categories"":""truncated"",""repopulated"":{""natural_categories"":13,""functional_categories"":10}}","::1","2026-06-20 16:12:50"
"15","1","admin","reset_users","Starting user reset to default admin account.","::1","2026-06-20 16:13:02"
"16","1","admin","reset_users_repopulate_categories","{""natural_categories"":13,""functional_categories"":10}","::1","2026-06-20 16:13:02"
