id,user_id,username,action,details,ip_address,created_at
"1","1","admin","clear_transactions","Tables: transaction_lines, transaction_details","::1","2026-06-20 15:47:14"
"2","1","admin","clear_transactions_completed","{""transaction_lines"":""truncated"",""transaction_details"":""truncated""}","::1","2026-06-20 15:47:14"
"3","1","admin","clear_budgets","Tables: budget_lines, budgets","::1","2026-06-20 15:47:28"
"4","1","admin","clear_budgets_completed","{""budget_lines"":""truncated"",""budgets"":""truncated""}","::1","2026-06-20 15:47:28"
"5","1","admin","clear_accounts_funds","Tables: accounts, funds","::1","2026-06-20 15:47:39"
"6","1","admin","clear_accounts_funds_completed","{""accounts"":""truncated"",""funds"":""truncated""}","::1","2026-06-20 15:47:39"
"7","1","admin","maintenance_auth_failed","clear_categories","::1","2026-06-20 15:47:52"
"8","1","admin","maintenance_auth_failed","clear_categories","::1","2026-06-20 15:48:01"
"9","1","admin","clear_categories","Tables: functional_categories, natural_categories","::1","2026-06-20 15:48:04"
"10","1","admin","clear_categories_repopulate_categories","{""natural_categories"":13,""functional_categories"":10}","::1","2026-06-20 15:48:04"
"11","1","admin","clear_categories_completed","{""functional_categories"":""truncated"",""natural_categories"":""truncated"",""repopulated"":{""natural_categories"":13,""functional_categories"":10}}","::1","2026-06-20 15:48:04"
"12","1","admin","clear_all_financial","Tables: transaction_lines, transaction_details, budget_lines, budgets, tasks, accounts, funds, functional_categories, natural_categories","::1","2026-06-20 15:48:38"
"13","1","admin","clear_all_financial_repopulate_categories","{""natural_categories"":13,""functional_categories"":10}","::1","2026-06-20 15:48:38"
"14","1","admin","clear_all_financial_completed","{""transaction_lines"":""truncated"",""transaction_details"":""truncated"",""budget_lines"":""truncated"",""budgets"":""truncated"",""tasks"":""truncated"",""accounts"":""truncated"",""funds"":""truncated"",""functional_categories"":""truncated"",""natural_categories"":""truncated"",""repopulated"":{""natural_categories"":13,""functional_categories"":10}}","::1","2026-06-20 15:48:38"
"15","1","admin","reset_users","Starting user reset to default admin account.","::1","2026-06-20 15:48:52"
